Feb 1, 2013 3:34:11 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
2013-02-01 15:34:11,367 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.management.cfg
2013-02-01 15:34:11,372 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.cfg
2013-02-01 15:34:11,373 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.repos.cfg
2013-02-01 15:34:11,375 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.ops4j.pax.logging.cfg
2013-02-01 15:34:11,377 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.jaas.cfg
2013-02-01 15:34:11,378 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.log.cfg
2013-02-01 15:34:11,380 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.felix.fileinstall-deploy.cfg
2013-02-01 15:34:11,382 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.ops4j.pax.url.mvn.cfg
2013-02-01 15:34:11,383 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.shell.cfg
2013-02-01 15:34:11,385 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.obr.cfg
2013-02-01 15:34:11,423 | INFO  | FelixStartLevel  | BlueprintExtender                | rint.container.BlueprintExtender  129 | 7 - org.apache.aries.blueprint.core - 1.0.1 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2013-02-01 15:34:11,567 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Starting JMX OSGi agent
2013-02-01 15:34:11,580 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.console is waiting for namespace handlers [http://aries.apache.org/blueprint/xmlns/blueprint-ext/v1.0.0]
2013-02-01 15:34:11,584 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3] for service with service.id [10]
2013-02-01 15:34:11,705 | WARN  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | There are no MBean servers registred, can't register MBeans
2013-02-01 15:34:11,841 | INFO  | FelixStartLevel  | Activator                        | x.web.service.internal.Activator  144 | 75 - org.ops4j.pax.web.pax-web-runtime - 1.1.3 | Pax Web started
